,State,Primary,Candidate,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287,t288,t289,t290,t291,t292,t293,t294,t295,t296,t297,t298,t299,t300,t301,t302,t303,t304,t305,t306,t307,t308,t309,t310
10,Arizona,Democrat,Clinton,0.5719,0.34,0.0,0.2732,-0.7453,0.4588,0.296,0.0,-0.0258,0.0,0.0,0.368,0.0,0.0,0.0,0.0,0.0,0.0,0.6597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.5267,0.0,0.0,0.296,0.0,0.0,-0.4939,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Arizona,Democrat,Sanders,0.5719,0.4005,0.6251,0.0,0.2732,0.3802,0.0,0.0,0.3595,0.4753,0.0,0.4215,-0.4215,0.368,0.0,0.0,0.0,0.8519,0.7707,0.4215,0.7249,0.0,0.0,0.0,0.0,0.0,0.4404,0.0,0.0,0.0,0.4019,0.0,0.6166,0.5562,0.3818,0.0,0.25,0.0,0.2732,0.0,0.0,0.0,0.5106,-0.296,0.3182,-0.4215,0.3182,0.5859,0.0,0.4215,0.0,0.0,0.0,0.0,-0.4404,0.0,-0.2714,0.0,0.34,0.0,0.0,0.0,0.3182,0.0,0.0,0.3956,0.0,0.4404,0.3802,-0.1531,0.0,0.7762,0.0,0.0,0.4574,0.0,-0.0772,-0.3182,-0.4939,0.0,0.3182,0.128,0.0,0.0,0.0,0.6369,0.0,0.0,0.0,0.0772,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Arizona,Republican,Rubio,0.0,0.5423,-0.2732,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Arizona,Republican,Cruz,0.368,0.5562,0.3182,0.0,0.4374,0.4374,0.0,0.0,0.0,0.1189,0.3612,0.0,0.0,0.0,0.2732,0.0,0.5859,-0.126,0.1182,-0.0772,0.0,0.0,0.8357,0.0,-0.6625,0.6981,0.717,0.7424,0.0,0.0,0.7777,0.3875,-0.5242,0.8516,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Arizona,Republican,Trump,0.0,0.34,0.0,0.0,0.0,0.0,-0.3818,-0.7184,0.6251,0.4019,0.0,0.0,-0.6124,0.0,0.0772,0.2901,0.0,0.0,0.6588,-0.296,0.0,-0.4753,0.5046,-0.5423,-0.7998,0.2144,0.0,0.0,0.0,-0.6124,0.0,0.0,0.4019,0.0,0.0,0.0,-0.5719,0.0,-0.2654,-0.4767,-0.1027,0.3818,0.0,-0.6625,0.3291,0.717,-0.4019,0.8934,-0.2732,0.7707,0.0,0.0,-0.2263,0.0,-0.2023,0.8225,0.0,-0.4404,0.0,0.3952,0.3595,0.0,0.4215,0.666,0.0,0.0,0.1779,0.0,0.0,0.0,0.368,0.0,0.0,0.5562,0.5574,0.0,0.3182,0.3802,0.0,0.0,0.0,-0.128,0.3361,0.2732,0.6486,0.0,0.8122,0.4574,0.2732,0.5574,-0.6124,0.0,-0.7034,0.2732,0.0,-0.4404,0.0,-0.7717,-0.296,-0.2263,-0.3802,0.6369,-0.2732,-0.5859,0.722,0.0,-0.5859,-0.7125,-0.25,-0.6124,-0.6409,-0.5859,-0.6705,-0.5859,-0.1613,-0.3818,0.0,-0.5267,-0.5859,-0.5267,-0.7717,-0.3818,-0.2942,-0.3818,-0.6908,-0.3818,-0.5423,-0.7269,0.1779,-0.5859,0.0,-0.0772,-0.2023,-0.3818,0.5093,0.4767,0.0,-0.0726,0.8811,0.8316,0.4184,0.3182,-0.2263,-0.5267,0.0,0.0,0.6514,-0.4215,-0.7453,-0.128,-0.8012,0.0,0.0,0.4466,0.0,0.0,0.4574,0.0,-0.0772,0.9451,0.4767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Arkansas,Democrat,Clinton,0.2263,0.2263,0.0,0.765,0.0,0.5994,0.0,0.0,-0.69,0.0,0.4215,0.4215,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Arkansas,Democrat,Sanders,0.6486,0.6486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Arkansas,Republican,Rubio,-0.3804,-0.3804,0.0,-0.6671,-0.4003,0.0,0.4588,0.2263,0.8481,0.0,0.0,0.0,0.0,0.6249,0.4199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Arkansas,Republican,Cruz,0.0,0.0,0.0,0.0,0.0,0.0,-0.8172,-0.6671,0.0,-0.4003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Arkansas,Republican,Trump,-0.0516,-0.0516,-0.6597,-0.6597,0.0,0.0,0.2732,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,California,Democrat,Clinton,0.0,0.0,0.0,0.0,0.0,0.0,-0.4939,0.0,0.0,-0.7717,0.0,0.0,-0.4767,0.4767,0.0,0.5574,0.5095,0.0,0.5859,-0.7783,0.4926,0.0,-0.7579,0.0,0.0,-0.6901,0.0,0.4767,0.3818,-0.1027,0.1531,0.0,0.0,0.0,0.0,-0.4767,0.2732,0.0,0.1531,0.7463,0.0,0.0828,0.0,-0.2058,0.2732,0.0,0.0,0.34,0.4404,0.0,0.25,-0.5574,0.0,0.3818,0.0,0.0,0.0,0.7233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,California,Democrat,Sanders,0.6908,0.0,0.0,-0.3818,0.0,0.0,0.6249,0.4404,-0.3818,0.0,0.0,0.0516,0.0,0.0,0.6124,0.3291,0.0,0.3182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4825,0.25,0.0,0.0,0.2975,0.4404,0.0,0.0,0.1139,0.4019,0.0,0.0,0.9429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7712,0.0,0.2023,0.0,0.0,0.4754,0.4574,0.0,0.4019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4215,0.0,0.4404,-0.1739,0.5994,0.0,0.784,0.0,0.5859,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.7959,0.6785,0.0,0.0,0.2695,0.0,0.5251,0.0,0.0,0.0,0.4404,0.7096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4404,0.0,0.0,0.4404,0.4404,0.0,0.128,0.3612,0.6249,0.0,0.1779,0.0,0.5093,0.0,0.3182,0.0,0.2023,0.4754,0.0,-0.7712,0.7463,0.3612,0.0,0.0,0.0,-0.4023,0.0,-0.4559,0.0,0.0,0.0,0.0,0.4145,0.3382,0.3182,0.0,0.0,0.6125,0.0,0.0,0.0,0.1531,0.0,0.0,0.4404,0.0,0.0,0.0,0.0,0.7003,0.0,-0.1511,0.0,0.4404,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.7419,0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8316,0.0,0.0258,0.4404,0.34,0.0,0.6521,0.4404,0.0,-0.3182,0.5994,0.4767,0.8658,0.0,-0.7964,-0.4404,-0.4939,0.0,0.0,-0.6752,-0.5423,0.5994,0.0,0.0,0.4404,-0.2023,0.3818,0.7351,0.4404,0.0,0.2023,0.0,0.0772,0.0,0.5106,0.0,-0.2263,0.0,0.0,0.0,0.5994,0.0,0.7579,0.8074,0.2732,0.915,0.5574,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,California,Republican,Rubio,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
